"site","date","flux"
"X17",2012-06-23,501.5784774
"X17",2012-06-24,181.0400592
"X17",2012-06-25,901.9252242
"X17",2012-06-26,25.0432182
"X17",2012-07-19,20.741152983
"X17",2012-08-13,15.575034012
"X17",2012-10-21,10.255560852
"X17",2012-10-22,163.427633788
"X17",2012-10-23,85.274509283
"X17",2012-10-31,25.93678288
"X17",2012-11-08,795.485460727
"X17",2012-11-17,46.586083566
"X17",2012-11-18,10.224298818
"X17",2012-11-28,121.397127425
"X17",2012-11-29,951.901124273
"X17",2012-12-01,12.459162003
"X17",2012-12-02,48.726425665
"X17",2012-12-11,43.186528243
"X17",2012-12-12,48.881824745
"X17",2012-12-20,21.380992168
"X17",2012-12-21,302.610087682
"X17",2012-12-23,77.911015378
"X17",2013-03-05,59.833455383
"X17",2013-03-06,100.275667764
"X17",2013-04-04,19.793638665
"X17",2013-04-07,26.01553814
"X17",2013-04-14,57.714967057
"X17",2013-04-15,23.813789977
"X17",2013-06-10,60.602206324
"X17",2013-06-18,50.479564545
"X17",2013-06-19,95.420857175
"X17",2013-07-02,22.88997086
"X17",2013-08-18,30.523652235
"X17",2013-08-20,71.5609843
"X17",2013-08-25,14.033839707
"X17",2013-08-29,16.823515546
"X17",2013-09-05,24.171086255
"X17",2013-09-20,85.977361617
"X17",2013-09-21,387.870749533
"X17",2013-09-24,43.69092226
"X17",2013-10-27,325.805105734
"X17",2013-10-28,82.113299348
"X17",2013-12-03,64.147870192
"X17",2014-01-11,10.719145602
"X17",2014-02-15,83.500918651
"X17",2014-02-19,43.862423817
"X17",2014-03-06,11.43620674
"X17",2014-03-10,42.969835249
"X17",2014-03-17,15.63177816
"X17",2014-03-25,22.020335729
"X17",2014-03-29,376.105183948
"X17",2014-04-22,112.11431179
"X17",2014-04-25,150.846273527
"X17",2014-05-10,28.056552627
"X17",2014-05-18,42.603383896
"X17",2014-05-30,10.496644104
"X17",2014-06-10,28.238046864
"X17",2014-09-25,401.09540107
"X17",2014-10-14,22.218961517
"X17",2014-10-15,110.508196398
"X17",2014-10-21,32.809843981
"X17",2014-10-25,585.743917055
"X17",2014-10-31,134.838612665
"X17",2014-11-22,349.990714176
"X17",2014-11-28,293.973923583
"X17",2014-11-29,238.426134597
"X17",2014-11-30,82.27012563
"X17",2014-12-03,79.538334275
"X17",2014-12-10,228.638587719
"X17",2014-12-11,541.919529719
"X17",2014-12-12,10.596838919
"X17",2014-12-24,140.985109856
"X17",2014-12-29,48.310335114
"X17",2015-02-05,241.663170244
"X17",2015-02-06,499.118610957
"X17",2015-02-08,125.692598214
"X17",2015-02-09,41.133131604
"X17",2015-03-11,63.959177226
"X17",2015-03-23,20.976066407
"X17",2015-04-05,453.334246691
"X17",2015-04-07,169.931155579
"X17",2015-04-13,101.291014287
"X17",2015-04-14,491.50533252
"X17",2015-04-25,21.850339992
"X17",2015-05-11,26.959116744
"X17",2015-05-12,168.310874605
"X17",2015-05-13,98.353333647
"X17",2015-05-31,107.730934891
"X17",2015-08-07,14.463537398
"X17",2015-09-14,12.894183745
"X17",2015-09-15,60.064180275
"X17",2015-09-16,70.498009938
"X17",2015-10-01,21.375092051
"X17",2015-11-08,29.002925086
"X17",2015-11-15,260.589277611
"X17",2015-11-24,323.420147671
"X17",2015-12-03,179.192194737
"X17",2015-12-06,68.070951323
"X17",2015-12-10,268.682615916
"X17",2015-12-13,127.66138865
"X18",2011-02-14,38.774512777
"X18",2011-02-15,57.635728866
"X18",2011-02-16,24.496032191
"X18",2011-03-10,250.274939444
"X18",2011-03-15,180.530960722
"X18",2011-03-18,73.200086243
"X18",2011-04-02,16.167584513
"X18",2011-04-07,25.031485457
